code,name,contact
MEDLIN,Medline,oem@medline.com
CARDIN,Cardinal Health,oem@cardinalhealth.com
BBRAUN,B. Braun,oem@bbraun.com
NIPRO,Nipro,oem@nipro.com
QOSINA,Qosina,oem@qosina.com
SAINTG,Saint-Gobain,oem@saintgobain.com
FREUDE,Freudenberg,oem@freudenberg.com
VESTA,Vesta,oem@vesta.com
NORDSO,Nordson MEDICAL,oem@nordsonmedical.com
RAUMED,Raumedic,oem@raumedic.com
LUBRIZ,Lubrizol,oem@lubrizol.com
AVANTO,Avantor,oem@avantor.com
TRELLE,Trelleborg,oem@trelleborg.com
PARKER,Parker Hannifin,oem@parkerhannifin.com
SMITHS,Smiths Medical,oem@smithsmedical.com
TELEFL,Teleflex OEM,oem@teleflexoem.com
VENTIO,Vention,oem@vention.com
SPECTR,Spectrum Plastics,oem@spectrumplastics.com
MICROL,MicroLumen,oem@microlumen.com
NEWAGE,NewAge Industries,oem@newageindustries.com
ZEUS,Zeus,oem@zeus.com
PUTNAM,Putnam Plastics,oem@putnamplastics.com
TEKNIP,Tekni-Plex,oem@tekniplex.com
DUKEEX,Duke Extrusion,oem@dukeextrusion.com
APPLER,Apple Rubber,oem@applerubber.com
MINNES,Minnesota Rubber,oem@minnesotarubber.com
MARIAN,Marian Inc,oem@marianinc.com
BOYDCO,Boyd Corp,oem@boydcorp.com
POLYZE,Polyzen,oem@polyzen.com
INTERF,Interface Catheter,oem@interfacecatheter.com
